code_commune,commune,creations_total,creations_industrie,creations_construction,creations_commerce_transport,creations_info_com,creations_finance,creations_immo,creations_services_admin,creations_adm_sante_social,creations_autres_services,annee
62304,Erny-Saint-Julien,1,0,0,1,0,0,0,0,0,0,2017
62306,Ervillers,4,1,0,0,0,1,0,2,0,0,2017
62307,Escalles,4,0,1,0,0,0,1,0,1,1,2017
62308,Escœuilles,2,1,0,1,0,0,0,0,0,0,2017
62309,Esquerdes,5,0,0,0,1,0,0,1,2,1,2017
62310,Essars,8,0,1,2,0,0,0,3,2,0,2017
62311,Estevelles,14,1,0,5,1,0,0,3,2,2,2017
62312,Estrée,0,0,0,0,0,0,0,0,0,0,2017
62313,Estrée-Blanche,6,2,1,2,0,0,0,1,0,0,2017
62314,Estrée-Cauchy,3,0,2,1,0,0,0,0,0,0,2017
62315,Estréelles,1,0,0,1,0,0,0,0,0,0,2017
62316,Estrée-Wamin,3,0,1,1,0,1,0,0,0,0,2017
62317,Étaing,2,0,1,1,0,0,0,0,0,0,2017
62318,Étaples,66,3,9,23,2,4,2,11,8,4,2017
62319,Éterpigny,5,0,0,3,0,0,2,0,0,0,2017
62320,Étrun,3,1,0,1,0,1,0,0,0,0,2017
62321,Évin-Malmaison,24,0,4,11,1,0,2,0,3,3,2017
62322,Famechon,0,0,0,0,0,0,0,0,0,0,2017
62323,Fampoux,8,0,1,2,0,1,0,2,1,1,2017
62324,Farbus,6,1,1,2,0,1,0,1,0,0,2017
62325,Fauquembergues,6,0,1,3,0,0,1,0,1,0,2017
62326,Favreuil,5,2,0,0,0,0,0,0,2,1,2017
62327,Febvin-Palfart,4,2,0,2,0,0,0,0,0,0,2017
62328,Ferfay,5,0,1,2,0,0,0,0,2,0,2017
62329,Ferques,1,0,0,0,0,0,1,0,0,0,2017
62330,Festubert,11,0,0,3,0,1,1,4,2,0,2017
62331,Feuchy,6,0,3,1,0,0,0,0,0,2,2017
62332,Ficheux,2,0,0,1,0,0,0,1,0,0,2017
62333,Fiefs,1,1,0,0,0,0,0,0,0,0,2017
62334,Fiennes,3,0,0,1,0,0,0,1,0,1,2017
62335,Fillièvres,4,1,0,1,0,0,0,2,0,0,2017
62336,Fléchin,1,1,0,0,0,0,0,0,0,0,2017
62337,Flers,4,1,0,1,0,0,0,1,1,0,2017
62338,Fleurbaix,36,0,3,7,1,5,0,11,3,6,2017
62339,Fleury,0,0,0,0,0,0,0,0,0,0,2017
62340,Floringhem,1,0,0,0,0,0,0,0,1,0,2017
62341,Foncquevillers,2,0,0,0,0,1,0,0,1,0,2017
62342,Fontaine-lès-Boulans,2,2,0,0,0,0,0,0,0,0,2017
62343,Fontaine-lès-Croisilles,1,0,0,0,0,0,0,0,1,0,2017
62344,Fontaine-lès-Hermans,0,0,0,0,0,0,0,0,0,0,2017
62345,Fontaine-l'Étalon,1,0,0,1,0,0,0,0,0,0,2017
62346,Fortel-en-Artois,1,0,1,0,0,0,0,0,0,0,2017
62347,Fosseux,1,1,0,0,0,0,0,0,0,0,2017
62348,Foufflin-Ricametz,3,0,0,1,0,0,0,1,0,1,2017
62349,Fouquereuil,7,0,1,3,0,0,0,1,1,1,2017
62350,Fouquières-lès-Béthune,10,2,1,3,0,1,0,2,0,1,2017
62351,Fouquières-lès-Lens,17,1,2,5,0,0,1,1,3,4,2017
62352,Framecourt,0,0,0,0,0,0,0,0,0,0,2017
62353,Frémicourt,4,0,0,3,0,0,0,1,0,0,2017
62354,Frencq,4,1,0,1,0,0,0,0,2,0,2017
62355,Fresnes-lès-Montauban,13,1,4,3,0,0,0,3,1,1,2017
62356,Fresnicourt-le-Dolmen,3,1,0,2,0,0,0,0,0,0,2017
62357,Fresnoy,0,0,0,0,0,0,0,0,0,0,2017
62358,Fresnoy-en-Gohelle,0,0,0,0,0,0,0,0,0,0,2017
62359,Fressin,3,0,0,1,0,0,0,0,1,1,2017
62360,Fréthun,5,1,0,1,0,0,0,0,2,1,2017
62361,Frévent,18,2,1,8,0,0,0,2,3,2,2017
62362,Frévillers,1,0,0,1,0,0,0,0,0,0,2017
62363,Frévin-Capelle,2,0,0,2,0,0,0,0,0,0,2017
62364,Fruges,14,1,0,5,1,0,0,3,2,2,2017
62365,Galametz,0,0,0,0,0,0,0,0,0,0,2017
62366,Gauchin-Légal,1,0,0,0,0,0,0,1,0,0,2017
62367,Gauchin-Verloingt,3,0,0,1,0,0,0,1,1,0,2017
62368,Gaudiempré,1,0,0,0,0,0,0,0,0,1,2017
62369,Gavrelle,5,0,2,2,0,0,1,0,0,0,2017
62370,Gennes-Ivergny,1,0,0,1,0,0,0,0,0,0,2017
62371,Givenchy-en-Gohelle,9,1,1,4,0,0,0,1,1,1,2017
62372,Givenchy-le-Noble,1,0,0,0,0,0,0,0,1,0,2017
62373,Givenchy-lès-la-Bassée,0,0,0,0,0,0,0,0,0,0,2017
62374,Gomiécourt,1,0,0,0,0,1,0,0,0,0,2017
62375,Gommecourt,0,0,0,0,0,0,0,0,0,0,2017
62376,Gonnehem,12,0,1,4,1,0,1,1,2,2,2017
